symbol,missing_open_time
BTCUSDT,2020-12-21T14:55:00+0000
BTCUSDT,2020-12-21T15:00:00+0000
BTCUSDT,2020-12-21T15:05:00+0000
BTCUSDT,2020-12-21T15:10:00+0000
BTCUSDT,2020-12-21T15:15:00+0000
BTCUSDT,2020-12-21T15:20:00+0000
BTCUSDT,2020-12-21T15:25:00+0000
BTCUSDT,2020-12-21T15:30:00+0000
BTCUSDT,2020-12-21T15:35:00+0000
BTCUSDT,2020-12-21T15:40:00+0000
BTCUSDT,2020-12-21T15:45:00+0000
BTCUSDT,2020-12-21T15:50:00+0000
BTCUSDT,2020-12-21T15:55:00+0000
BTCUSDT,2020-12-21T16:00:00+0000
BTCUSDT,2020-12-21T16:05:00+0000
BTCUSDT,2020-12-21T16:10:00+0000
BTCUSDT,2020-12-21T16:15:00+0000
BTCUSDT,2020-12-21T16:20:00+0000
BTCUSDT,2020-12-21T16:25:00+0000
BTCUSDT,2020-12-21T16:30:00+0000
BTCUSDT,2020-12-21T16:35:00+0000
BTCUSDT,2020-12-21T16:40:00+0000
BTCUSDT,2020-12-21T16:45:00+0000
BTCUSDT,2020-12-21T16:50:00+0000
BTCUSDT,2020-12-21T16:55:00+0000
BTCUSDT,2020-12-21T17:00:00+0000
BTCUSDT,2020-12-21T17:05:00+0000
BTCUSDT,2020-12-21T17:10:00+0000
BTCUSDT,2020-12-21T17:15:00+0000
BTCUSDT,2020-12-21T17:20:00+0000
BTCUSDT,2020-12-21T17:25:00+0000
BTCUSDT,2020-12-21T17:30:00+0000
BTCUSDT,2020-12-21T17:35:00+0000
BTCUSDT,2020-12-21T17:40:00+0000
BTCUSDT,2020-12-21T17:45:00+0000
BTCUSDT,2020-12-21T17:50:00+0000
BTCUSDT,2020-12-21T17:55:00+0000
BTCUSDT,2020-12-25T02:00:00+0000
BTCUSDT,2020-12-25T02:05:00+0000
BTCUSDT,2020-12-25T02:10:00+0000
BTCUSDT,2020-12-25T02:15:00+0000
BTCUSDT,2020-12-25T02:20:00+0000
BTCUSDT,2020-12-25T02:25:00+0000
BTCUSDT,2020-12-25T02:30:00+0000
BTCUSDT,2020-12-25T02:35:00+0000
BTCUSDT,2020-12-25T02:40:00+0000
BTCUSDT,2020-12-25T02:45:00+0000
BTCUSDT,2020-12-25T02:50:00+0000
BTCUSDT,2020-12-25T02:55:00+0000
BTCUSDT,2021-02-11T03:45:00+0000
