date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent
2020-04-03,ETHUSDT,141.27,146.72,137.26,141.31,797546.11446,288,288,0.0019053305831840442,0.00021232173900564074,True,0.04365009259078432,4.365009259078432
2020-04-04,ETHUSDT,141.3,146.28,138.88,144.1,573508.14086,288,288,0.001892374942998298,0.019551444410821663,True,0.04350143610271157,4.350143610271157
2020-04-05,ETHUSDT,144.1,145.58,140.68,142.68,414987.45246,288,288,0.0008066742113133729,-0.009903142514785874,True,0.02840201069138192,2.840201069138192
2020-04-06,ETHUSDT,142.69,172.0,142.6,171.32,1636338.7311,288,288,0.0037375411024150773,0.18292879225647773,True,0.06113543246281224,6.113543246281225
2020-04-07,ETHUSDT,171.32,176.22,162.22,164.63,1717962.82538,288,288,0.003487455578198156,-0.03983262108724101,True,0.05905468294892587,5.905468294892588
2020-04-08,ETHUSDT,164.62,174.48,163.59,173.11,1023575.92076,288,288,0.0025983725536909384,0.05022669892870801,True,0.05097423421387454,5.097423421387455
2020-04-09,ETHUSDT,173.15,173.38,165.19,169.52,719837.24423,288,288,0.0012866504787370817,-0.020956316628594922,True,0.035869910492459856,3.5869910492459853
2020-04-10,ETHUSDT,169.56,170.1,152.11,157.81,1314841.362,288,288,0.0031610299276627124,-0.07157913620000264,True,0.05622303733935683,5.622303733935683
2020-04-11,ETHUSDT,157.81,161.37,153.91,158.33,621599.61289,288,288,0.0012939919101105713,0.0032896847533029085,True,0.03597209905066107,3.5972099050661073
2020-04-12,ETHUSDT,158.33,164.78,155.0,158.59,809100.24594,288,288,0.0012089282090559782,0.001640792997168193,True,0.03476964493715715,3.476964493715715
2020-04-13,ETHUSDT,158.56,158.97,150.0,156.29,1042091.03622,288,288,0.0027402585407398693,-0.01460899965640805,True,0.05234747883842993,5.234747883842993
2020-04-14,ETHUSDT,156.28,161.85,155.23,158.45,698030.65089,288,288,0.0013000780324160263,0.013725830282827572,True,0.03605659485331395,3.6056594853313952
2020-04-15,ETHUSDT,158.46,161.29,152.0,152.73,729119.66505,288,288,0.0012054553884681062,-0.036767429554576396,True,0.03471966861115046,3.471966861115046
2020-04-16,ETHUSDT,152.74,174.79,148.33,172.29,1647207.5999099999,288,288,0.00554622328417127,0.12050744696196088,True,0.07447297015811354,7.447297015811354
2020-04-17,ETHUSDT,172.31,174.96,168.31,170.69,723537.75591,288,288,0.0014922935024786815,-0.009330057768074834,True,0.03863021489040258,3.863021489040258
2020-04-18,ETHUSDT,170.61,189.54,170.48,187.4,1127296.36979,288,288,0.0022500136051835187,0.09339632402808032,True,0.04743430831353524,4.743430831353524
2020-04-19,ETHUSDT,187.4,188.35,175.75,180.03,995759.5775,288,288,0.002155780218993881,-0.040121866134790796,True,0.04643038034513481,4.643038034513481
2020-04-20,ETHUSDT,180.02,186.46,166.7,170.2,1547821.52737,288,288,0.003102327987506412,-0.05614928753025751,True,0.05569854564983193,5.569854564983193
2020-04-21,ETHUSDT,170.21,174.7,168.0,170.74,906381.65398,288,288,0.0016530791453010954,0.003167715442885472,True,0.04065807601573266,4.065807601573266
2020-04-22,ETHUSDT,170.73,184.0,169.78,182.7,988698.39076,288,288,0.0011585056347559694,0.06770353180180082,True,0.03403682762473567,3.4036827624735673
2020-04-23,ETHUSDT,182.7,193.63,178.16,185.51,1457867.08713,288,288,0.002129631224918567,0.015263325566322738,True,0.04614792763406139,4.61479276340614
2020-04-24,ETHUSDT,185.57,189.8,184.72,187.59,780904.21257,288,288,0.0009685374085812119,0.011149941297034387,True,0.031121333656853652,3.112133365685365
2020-04-25,ETHUSDT,187.6,198.36,185.76,194.21,866478.04928,258,257,,,False,,
2020-04-26,ETHUSDT,194.21,200.0,192.3,197.38,758525.81533,288,288,0.0007666407988030472,0.01619075690650063,True,0.02768827908706222,2.768827908706222
2020-04-27,ETHUSDT,197.39,199.05,189.29,196.34,896627.37271,288,288,0.0008825544967361325,-0.005282954479487897,True,0.029707818781191803,2.97078187811918
2020-04-28,ETHUSDT,196.33,198.5,192.36,196.24,636829.89397,288,288,0.0007345976219047702,-0.0005094503141416813,True,0.027103461437697773,2.7103461437697773
2020-04-29,ETHUSDT,196.24,218.77,196.22,215.36,1620422.72431,288,288,0.0019251481849594922,0.09297264650612787,True,0.043876510628803336,4.387651062880334
2020-04-30,ETHUSDT,215.4,227.3,202.0,206.08,1749691.00151,288,288,0.005119024190874911,-0.0440466035403745,True,0.07154735628152106,7.154735628152106
2020-05-01,ETHUSDT,206.07,217.14,205.91,212.02,794913.95828,288,288,0.0014547397444219542,0.028416166928962937,True,0.038141050646540324,3.8141050646540324
2020-05-02,ETHUSDT,212.01,215.37,210.36,213.9,443494.67248,288,288,0.0005890751645776885,0.008828006243408223,True,0.024270870700856376,2.4270870700856375
2020-05-03,ETHUSDT,213.89,219.3,203.92,209.86,748383.91311,288,288,0.001288574382504739,-0.01906797435859547,True,0.03589671826928945,3.5896718269289454
2020-05-04,ETHUSDT,209.86,210.65,194.88,206.48,1114249.32658,288,288,0.0026743001982344064,-0.01623708631940585,True,0.05171363648240575,5.1713636482405745
2020-05-05,ETHUSDT,206.47,211.68,201.0,205.29,640644.66268,288,288,0.001524261312637185,-0.005779941777843242,True,0.03904178931141841,3.9041789311418413
2020-05-06,ETHUSDT,205.3,210.77,197.71,198.97,862700.67849,288,288,0.001293200814921524,-0.03126955404136035,True,0.03596110141418814,3.596110141418814
2020-05-07,ETHUSDT,198.92,215.1,196.43,212.0,1305778.73764,288,288,0.0022005080251617584,0.06343221508085503,True,0.046909572852049705,4.690957285204971
2020-05-08,ETHUSDT,212.01,216.61,206.9,211.31,917908.1944,288,288,0.0012449069399488406,-0.0032600250931772144,True,0.03528323879618821,3.5283238796188208
2020-05-09,ETHUSDT,211.32,214.6,208.4,210.07,587871.98073,288,288,0.0008234247857122268,-0.00588544107124696,True,0.028695379170037585,2.8695379170037585
2020-05-10,ETHUSDT,210.09,210.18,179.59,187.54,1473226.05475,288,288,0.012322602386232034,-0.11344865251610918,True,0.11100721772133573,11.100721772133573
2020-05-11,ETHUSDT,187.62,193.5,176.0,185.73,1093299.81927,288,288,0.003591538765785411,-0.009698149792229846,True,0.059929448235282554,5.992944823528255
2020-05-12,ETHUSDT,185.8,192.24,185.48,189.76,669755.79567,288,288,0.001132155811931675,0.02146610961010968,True,0.033647523117336216,3.3647523117336218
2020-05-13,ETHUSDT,189.77,201.0,188.35,199.58,806143.0070399999,288,288,0.0009841043348342278,0.050455042646806475,True,0.03137043727515171,3.137043727515171
2020-05-14,ETHUSDT,199.61,206.02,195.67,203.29,1114700.24937,288,288,0.0018003723410436351,0.018418372576807774,True,0.042430794725572075,4.243079472557207
2020-05-15,ETHUSDT,203.29,204.08,191.66,194.86,904749.6357,288,288,0.0012861424524189355,-0.04235217903577806,True,0.035862828282484015,3.5862828282484016
2020-05-16,ETHUSDT,194.87,203.5,193.21,200.45,669900.03754,288,288,0.0009039215724102154,0.02828348709132098,True,0.030065288497039495,3.0065288497039497
2020-05-17,ETHUSDT,200.44,209.85,199.68,207.0,708711.89315,288,288,0.0007321598884766846,0.03215395417685236,True,0.02705845317967538,2.7058453179675377
2020-05-18,ETHUSDT,207.02,217.07,207.0,214.91,1064139.2485,288,288,0.0012296105273003955,0.037500542571745156,True,0.03506580281842119,3.506580281842119
2020-05-19,ETHUSDT,214.92,215.95,209.45,214.58,643702.98849,288,288,0.0008050093245975659,-0.001536706628514047,True,0.02837268624218662,2.837268624218662
2020-05-20,ETHUSDT,214.6,215.75,204.27,209.98,679532.61037,288,288,0.0006467181385819758,-0.021670341121805506,True,0.0254306535225105,2.54306535225105
2020-05-21,ETHUSDT,209.99,211.64,191.71,198.74,1003923.4342,288,288,0.0015304251491328267,-0.05501485028357812,True,0.03912064862873348,3.9120648628733483
2020-05-22,ETHUSDT,198.72,209.19,196.24,207.36,787672.36081,288,288,0.0010834726386373546,0.04245897536069155,True,0.032916145561674666,3.291614556167467
2020-05-23,ETHUSDT,207.36,211.2,204.55,206.6,478559.92006,288,288,0.0007453066556034498,-0.003671856478373833,True,0.02730030504597796,2.730030504597796
2020-05-24,ETHUSDT,206.6,210.55,199.5,199.9,673535.05784,288,288,0.0011006414534790005,-0.03296731517918379,True,0.03317591676923187,3.317591676923187
