date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent,log_realized_variance,daily_log_variance,weekly_log_variance,monthly_log_variance,target_log_variance,usable_for_model
2020-04-11,ETHUSDT,157.81,161.37,153.91,158.33,621599.61289,288,288,0.0012939919101105,0.0032896847533029,True,0.035972099050661,3.5972099050661073,-6.650023334769571,-5.756857378010274,-5.922670105351031,-5.899457275898035,-6.650023334769571,True
2020-04-12,ETHUSDT,158.33,164.78,155.0,158.59,809100.24594,288,288,0.0012089282090559,0.0016407929971681,True,0.0347696449371571,3.476964493715715,-6.718021089546068,-6.650023334769571,-6.134809303700119,-6.022121433665704,-6.718021089546068,True
2020-04-13,ETHUSDT,158.56,158.97,150.0,156.29,1042091.03622,288,288,0.0027402585407398,-0.014608999656408,True,0.0523474788384299,5.234747883842993,-5.899703005099354,-6.718021089546068,-6.34669694773933,-6.104895285417152,-5.899703005099354,True
2020-04-14,ETHUSDT,156.28,161.85,155.23,158.45,698030.65089,288,288,0.001300078032416,0.0137258302828275,True,0.0360565948533139,3.6056594853313952,-6.6453309913806855,-5.899703005099354,-6.336063554594081,-6.128815752623553,-6.6453309913806855,True
2020-04-15,ETHUSDT,158.46,161.29,152.0,152.73,729119.66505,288,288,0.0012054553884681,-0.0367674295545763,True,0.0347196686111504,3.471966861115046,-6.720897867690525,-6.6453309913806855,-6.3339871597611905,-6.197651500239411,-6.720897867690525,True
2020-04-16,ETHUSDT,152.74,174.79,148.33,172.29,1647207.59991,288,288,0.0055462232841712,0.1205074469619608,True,0.0744729701581135,7.447297015811354,-5.194638072200277,-6.720897867690525,-6.52679525769724,-6.263046917052519,-5.194638072200277,True
2020-04-17,ETHUSDT,172.31,174.96,168.31,170.69,723537.75591,288,288,0.0014922935024786,-0.0093300577680748,True,0.0386302148904025,3.863021489040258,-6.507441079067959,-5.194638072200277,-6.235718205183382,-6.243892799521959,-6.507441079067959,True
2020-04-18,ETHUSDT,170.61,189.54,170.48,187.4,1127296.36979,288,288,0.0022500136051835,0.0933963240280803,True,0.0474343083135352,4.743430831353524,-6.096819016035868,-6.507441079067959,-6.193602203087759,-6.252540682908571,-6.096819016035868,True
2020-04-19,ETHUSDT,187.4,188.35,175.75,180.03,995759.5775,288,288,0.0021557802189938,-0.0401218661347907,True,0.0464303803451348,4.643038034513481,-6.139602570373752,-6.096819016035868,-6.233025405275063,-6.252580503042186,-6.139602570373752,True
2020-04-20,ETHUSDT,180.02,186.46,166.7,170.2,1547821.52737,288,288,0.0031023279875064,-0.0561492875302575,True,0.0556985456498319,5.569854564983193,-5.775602485611454,-6.139602570373752,-6.131879721073676,-6.268147735653489,-5.775602485611454,True
2020-04-21,ETHUSDT,170.21,174.7,168.0,170.74,906381.65398,288,288,0.001653079145301,0.0031677154428854,True,0.0406580760157326,4.065807601573266,-6.405115581494532,-5.775602485611454,-5.9428206446578615,-6.2249347965245425,-6.405115581494532,True
2020-04-22,ETHUSDT,170.73,184.0,169.78,182.7,988698.39076,288,288,0.0011585056347559,0.0677035318018008,True,0.0340368276247356,3.4036827624735673,-6.760624350266037,-6.405115581494532,-6.184916146516713,-6.229950291512802,-6.760624350266037,True
2020-04-23,ETHUSDT,182.7,193.63,178.16,185.51,1457867.08713,288,288,0.0021296312249185,0.0152633255663227,True,0.0461479276340613,4.61479276340614,-6.151806448091277,-6.760624350266037,-6.235552800756328,-6.219958141446413,-6.151806448091277,True
